@timestamp	message
2019-03-29T18:21:32.494Z	Mar 29 12:21:31 pc787 vhost-0 sshd[4864]: reprocess config line 36: Deprecated option RhostsRSAAuthentication
2019-03-29T18:21:33.522Z	Mar 29 12:21:33 pc787 vhost-0 sshd[4888]: rexec line 14: Deprecated option UsePrivilegeSeparation
2019-03-29T18:21:34.188Z	Mar 29 12:21:33 ms1102 node sshd[14948]: input_userauth_request: invalid user student [preauth]
2019-03-29T18:21:34.187Z	Mar 29 12:21:33 ms0809 node sshd[9881]: Failed password for root from 58.242.83.18 port 38701 ssh2
2019-03-29T18:21:34.557Z	Mar 29 12:21:33 pc528 node-7 sshd[11078]: Disconnected from 37.187.195.209 port 59996 [preauth]
2019-03-29T18:21:34.557Z	Mar 29 12:21:33 pc528 node-7 sshd[11078]: input_userauth_request: invalid user deploy [preauth]
2019-03-29T18:21:34.557Z	Mar 29 12:21:33 pc528 node-7 sshd[11078]: Received disconnect from 37.187.195.209 port 59996:11: Bye Bye [preauth]
2019-03-29T18:21:35.216Z	Mar 29 12:21:34 pcap1 sigmod-eval systemd-logind[1116]: New session 201837 of user contest.
2019-03-29T18:21:35.216Z	Mar 29 12:21:34 ms1102 node sshd[14944]: Received disconnect from 58.242.83.18 port 61187:11:  [preauth]
2019-03-29T18:21:32.164Z	Mar 29 12:21:31 pcap1 sigmod-eval sshd[1570]: Accepted publickey for contest from 128.104.222.207 port 55934 ssh2: RSA SHA256:AbAVm7ekwWQSMNCbbGVga7pb7b+S1NDsVuuenMeRiLU
2019-03-29T18:21:32.129Z	Mar 29 13:21:31 c220g2-011011 node-2 sshd[9731]: Invalid user piao from 129.213.133.225 port 40134
2019-03-29T18:21:32.129Z	Mar 29 13:21:31 ops sshd[27545]: Received disconnect from 58.242.83.18 port 15825:11:  [preauth]
2019-03-29T18:21:32.129Z	Mar 29 13:21:31 ops sshd[27545]: Disconnected from 58.242.83.18 port 15825 [preauth]
2019-03-29T18:21:33.166Z	Mar 29 12:21:32 pcap1 sigmod-eval sshd[1694]: Received disconnect from 128.104.222.207 port 55936:11: disconnected by user
2019-03-29T18:21:33.146Z	Mar 29 13:21:32 c220g2-011002 vhost-11 sshd[39791]: Received disconnect from 66.70.130.153 port 49576:11: Bye Bye [preauth]
2019-03-29T18:21:33.146Z	Mar 29 13:21:32 c220g2-011002 vhost-11 sshd[39791]: Disconnected from invalid user vn 66.70.130.153 port 49576 [preauth]
2019-03-29T18:21:35.216Z	Mar 29 12:21:34 pcap1 sigmod-eval sshd[1752]: Accepted publickey for contest from 128.104.222.207 port 55940 ssh2: RSA SHA256:AbAVm7ekwWQSMNCbbGVga7pb7b+S1NDsVuuenMeRiLU
2019-03-29T18:22:30.925Z	Mar 29 12:22:30 pc423 node-44 sshd[16333]: Received disconnect from 155.98.32.70 port 15280:11:  [preauth]
2019-03-29T18:22:31.952Z	Mar 29 12:22:31 pc609 node-0 sshd[24137]: Received disconnect from 155.98.32.70: 11:  [preauth]
2019-03-29T18:22:31.952Z	Mar 29 12:20:41 pc611 vhost1 sshd[40201]: Disconnected from 167.99.173.0 port 46734 [preauth]
2019-03-29T18:22:30.925Z	Mar 29 12:22:30 pc338 client3pool3 sshd[3301]: Received disconnect from 155.98.32.70 port 15261:11:  [preauth]
2019-03-29T18:22:30.925Z	Mar 29 12:22:30 pc534 node-6 sshd[10752]: Received disconnect from 155.98.32.70 port 15275:11:  [preauth]
2019-03-29T18:22:30.925Z	Mar 29 12:22:30 pc540 node-58 sshd[11994]: Received disconnect from 155.98.32.70 port 15289:11:  [preauth]
2019-03-29T18:22:31.951Z	Mar 29 12:22:30 pc836 node0 sshd[30989]: Received disconnect from 155.98.32.70 port 15338:11:  [preauth]
2019-03-29T18:22:31.278Z	Mar 29 12:22:30 pcap1 sigmod-eval sshd[5585]: Received disconnect from 128.104.222.207 port 56072:11: disconnected by user
2019-03-29T18:22:30.925Z	Mar 29 12:22:30 pc609 node-0 sshd[24137]: Invalid user vnc from 155.98.32.70
2019-03-29T18:22:30.926Z	Mar 29 12:22:30 pc477 node-21 sshd[9280]: Disconnected from 155.98.32.70 port 15297 [preauth]
