@timestamp	message
2019-03-29T00:00:03.174Z	Mar 28 18:00:02 pcap1 sigmod-eval sshd[5153]: Accepted publickey for contest from 128.104.222.207 port 33514 ssh2: RSA SHA256:AbAVm7ekwWQSMNCbbGVga7pb7b+S1NDsVuuenMeRiLU
2019-03-29T00:00:03.174Z	Mar 28 18:00:02 pcap1 sigmod-eval systemd-logind[1116]: Removed session 181318.
2019-03-29T00:00:03.174Z	Mar 28 17:59:52 hp200 localhost sshd[5162]: Received disconnect from 222.186.30.71 port 41702:11:  [preauth]
2019-03-29T00:00:03.132Z	Mar 28 19:59:56 clnode075 vm29 sshd[8247]: input_userauth_request: invalid user ismail [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:03 pc703 vhost-0 sshd[26009]: Disconnected from invalid user lucie 123.207.231.63 port 51468 [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:01 pc790 enb1 sshd[41463]: Received disconnect from 128.199.118.27 port 47950:11: Bye Bye [preauth]
2019-03-29T00:00:02.109Z	Mar 28 20:00:01 clnode230 localhost sshd[51529]: Received disconnect from 115.238.245.2 port 53287:11:  [preauth]
2019-03-29T00:00:02.125Z	Mar 29 01:00:01 hp006 openstack2 sshd[4975]: Disconnected from 192.144.158.151 port 45672 [preauth]
2019-03-29T00:00:02.109Z	Mar 28 20:00:01 clnode230 localhost sshd[51529]: Disconnected from authenticating user root 115.238.245.2 port 53287 [preauth]
2019-03-29T00:00:03.132Z	Mar 28 20:00:02 clnode007 lte-cross-node0 sshd[109133]: input_userauth_request: invalid user pj [preauth]
2019-03-29T00:00:03.133Z	Mar 28 20:00:02 clgpu007 clgpu007 sshd[87370]: Received disconnect from 185.58.53.66 port 54200:11: Normal Shutdown, Thank you for playing [preauth]
2019-03-29T00:00:03.133Z	Mar 28 20:00:02 clnode145 localhost sshd[8553]: Disconnecting invalid user admin 45.127.192.160 port 35245: Too many authentication failures [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:03 pc703 vhost-0 sshd[26009]: Received disconnect from 123.207.231.63 port 51468:11: Bye Bye [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:01 pc790 enb1 sshd[41463]: input_userauth_request: invalid user plexuser [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:00 pc730 node-10 sshd[139794]: input_userauth_request: invalid user applmgr [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:00 pc284 sshd[65588]: Received disconnect from 58.242.83.26: 11:  [preauth]
2019-03-29T00:00:03.593Z	Mar 28 18:00:00 pc831 nodee sshd[44149]: Invalid user jboss from 49.206.196.114
2019-03-29T00:00:03.133Z	Mar 28 19:59:56 clnode075 vm29 sshd[8247]: Disconnected from 71.33.136.150 port 48138 [preauth]
